lang,label,sentence
en,ocp:play,what's on the album {album_name}
en,ocp:play,play {album_name}
en,ocp:play,play the album {album_name}
en,ocp:play,start from the beginning of {album_name}
en,ocp:play,listen to all songs from {album_name}
en,ocp:play,blast the album {album_name}
en,ocp:play,can you play every song from {album_name}
en,ocp:play,let's start the album {album_name}
en,ocp:play,queue up the album {album_name}
en,ocp:play,listen to {album_name} from start to finish
en,ocp:play,play {album_name} the whole thing
en,ocp:play,i'd like to hear {album_name}
en,ocp:play,queue up the entire {album_name} record
en,ocp:play,queue {album_name}
en,ocp:play,give me the full album {album_name}
en,ocp:play,can you play {album_name}
en,ocp:play,play the full {album_name} album
en,ocp:play,start listening to {album_name}
en,ocp:play,play the full album {album_name}
en,ocp:play,play tracks from {album_name}
en,ocp:play,stream the entire album {album_name}
en,ocp:play,put on the album {album_name}
en,ocp:play,let's start playing {album_name}
en,ocp:play,put on {album_name} now
en,ocp:play,give me the album {album_name}
en,ocp:play,i want to listen to {album_name}
en,ocp:play,make a playlist for {album_name} album
en,ocp:play,spin {album_name}
en,ocp:play,play the album {album_name} in its entirety
en,ocp:play,fire up {album_name}
en,ocp:play,can you play the album {album_name} front to back
en,ocp:play,start the record {album_name}
en,ocp:play,load up the album {album_name}
en,ocp:play,can i hear the full album {album_name}
en,ocp:play,start album mode with {album_name}
en,ocp:play,play songs from {album_name} in order
en,ocp:play,queue up {album_name}'s tracks
en,ocp:play,play everything from {album_name}
en,ocp:play,can you play the whole {album_name} album
en,ocp:play,let's listen to {album_name}
en,ocp:play,start with {album_name}
en,ocp:play,i want to hear all tracks from {album_name}
en,ocp:play,can you play {album_name} from {artist_name}
en,ocp:play,queue the record {album_name} by {artist_name}
en,ocp:play,i'd love to listen to {album_name} from {artist_name}
en,ocp:play,spin {album_name} by {artist_name}
en,ocp:play,put on the album {album_name} by {artist_name}
en,ocp:play,put on {album_name} by {artist_name} right now
en,ocp:play,play every track from {album_name} by {artist_name}
en,ocp:play,play the album {album_name} by {artist_name}
en,ocp:play,play {album_name} by {artist_name}
en,ocp:play,add the album {album_name} by {artist_name} to my playlist
en,ocp:play,get the full {album_name} album by {artist_name} started
en,ocp:play,put on all songs from {album_name} by {artist_name}
en,ocp:play,play {artist_name}'s full album {album_name}
en,ocp:play,can you find {album_name} by {artist_name} for me
en,ocp:play,let’s listen to {album_name} by {artist_name}
en,ocp:play,start with {album_name} by {artist_name}
en,ocp:play,play the full {album_name} album by {artist_name}
en,ocp:play,fire up the album {album_name} by {artist_name}
en,ocp:play,can you play {artist_name}'s album {album_name}
en,ocp:play,play everything from {album_name} by {artist_name}
en,ocp:play,can i listen to the album {album_name} from {artist_name}
en,ocp:play,can you stream {album_name} by {artist_name}
en,ocp:play,play the album {album_name} by {artist_name} now
en,ocp:play,i'd like to listen to {album_name} from {artist_name}
en,ocp:play,start playing {album_name} by {artist_name}
en,ocp:play,queue {album_name} by {artist_name}
en,ocp:play,listen to the album {album_name} from {artist_name}
en,ocp:play,start album {album_name} by {artist_name} now
en,ocp:play,play {album_name} the album by {artist_name}
en,ocp:play,i'd like to hear {album_name} by {artist_name}
en,ocp:play,make a playlist for {album_name} by {artist_name}
en,ocp:play,queue {album_name} from {artist_name}
en,ocp:play,i’d like to hear the full record {album_name} from {artist_name}
en,ocp:play,listen to {artist_name}'s {album_name}
en,ocp:play,get me {album_name} by {artist_name}
en,ocp:play,let me hear {artist_name}
en,ocp:play,show me music by {artist_name}
en,ocp:play,queue {artist_name}'s newest album
en,ocp:play,could you put on {artist_name} for a while
en,ocp:play,start streaming {artist_name}
en,ocp:play,i’m in the mood for {artist_name}
en,ocp:play,play {artist_name}'s greatest hits
en,ocp:play,can you play something by {artist_name}
en,ocp:play,can you play music by {artist_name}
en,ocp:play,i want to hear {artist_name} right now
en,ocp:play,start playing {artist_name}
en,ocp:play,let's go with {artist_name} for now
en,ocp:play,drop me some {artist_name} jams
en,ocp:play,what's playing by {artist_name}
en,ocp:play,play me something from {artist_name}
en,ocp:play,get {artist_name} going
en,ocp:play,let's get some {artist_name} going
en,ocp:play,how about a {artist_name} song right now
en,ocp:play,give me a random song by {artist_name}
en,ocp:play,spin some {artist_name}
en,ocp:play,hit me with some {artist_name}
en,ocp:play,can i get a {artist_name} song
en,ocp:play,start a {artist_name} mix
en,ocp:play,find tracks by {artist_name}
en,ocp:play,start a {artist_name} playlist
en,ocp:play,do you have anything by {artist_name}
en,ocp:play,play a song from {artist_name} for me
en,ocp:play,play music from {artist_name}
en,ocp:play,give me tracks from {artist_name}
en,ocp:play,how about {artist_name} in the background
en,ocp:play,can you load up a {artist_name} playlist
en,ocp:play,i feel like listening to {artist_name}
en,ocp:play,play whatever you have by {artist_name}
en,ocp:play,fire up {artist_name}'s tunes
en,ocp:play,give me a few tracks from {artist_name}
en,ocp:play,i'd like to listen to {artist_name}
en,ocp:play,can you play some {artist_name}
en,ocp:play,get me {artist_name}'s songs right now
en,ocp:play,put on a track by {artist_name}
en,ocp:play,let’s hear a couple of {artist_name}'s songs
en,ocp:play,can you queue up some {artist_name}
en,ocp:play,give me {artist_name}'s music
en,ocp:play,queue up {artist_name}
en,ocp:play,put on a playlist of {artist_name}
en,ocp:play,play a random song by {artist_name}
en,ocp:play,let's hear the best of {artist_name}
en,ocp:play,play something random by {artist_name}
en,ocp:play,put on {artist_name} tunes
en,ocp:play,what songs do you have by {artist_name}
en,ocp:play,i want to listen to {artist_name}'s discography
en,ocp:play,drop some {artist_name} songs
en,ocp:play,play {artist_name}
en,ocp:play,give me some {artist_name} tracks
en,ocp:play,blast some {artist_name}
en,ocp:play,i'd like to hear {artist_name}
en,ocp:play,put {artist_name}'s best songs on
en,ocp:play,give me a playlist of {artist_name}'s music
en,ocp:play,i want to hear {artist_name}
en,ocp:play,play some tracks by {artist_name}
en,ocp:play,start {artist_name} playlist
en,ocp:play,i'd love to listen to {artist_name}
en,ocp:play,can you put on {artist_name} for me
en,ocp:play,can i get some {artist_name} right now
en,ocp:play,load up {artist_name}'s songs
en,ocp:play,can you play some hits from {artist_name}
en,ocp:play,start playing a {artist_name} track
en,ocp:play,put {artist_name} on
en,ocp:play,fire up some {artist_name}
en,ocp:play,let me hear a random {artist_name} song
en,ocp:play,i need some {artist_name} music right now
en,ocp:play,bring on the {artist_name} vibes
en,ocp:play,can i hear {artist_name} please
en,ocp:play,queue up {artist_name}'s tracks
en,ocp:play,how about we listen to {artist_name} today
en,ocp:play,queue up {artist_name}'s top songs
en,ocp:play,how about some {artist_name} music
en,ocp:play,stream {artist_name} for me
en,ocp:play,shuffle songs from {artist_name}
en,ocp:play,play the latest album from {artist_name}
